BAS_MGT_SN,CTP_KOR_NM,SIG_CD,SIG_KOR_NM,BAS_ID,BAS_AR,NTFC_DE,MVMN_DE,MVMN_RESN,OPERT_DE
1150000304,서울특별시,11500,강서구,07798,0.217,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1153000160,서울특별시,11530,구로구,08299,0.051253,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000161,서울특별시,11530,구로구,08301,0.043036,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000162,서울특별시,11530,구로구,08312,0.08802,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000131,서울특별시,11530,구로구,08250,0.304185,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000132,서울특별시,11530,구로구,08334,0.054296,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000133,서울특별시,11530,구로구,08333,0.065609,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000134,서울특별시,11530,구로구,08331,0.037326,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000135,서울특별시,11530,구로구,08330,0.044279,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000058,서울특별시,11560,영등포구,07308,0.060945,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000057,서울특별시,11560,영등포구,07305,0.109499,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000060,서울특별시,11560,영등포구,07304,0.047636,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000061,서울특별시,11560,영등포구,07437,0.052294,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000062,서울특별시,11560,영등포구,07342,0.046136,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000063,서울특별시,11560,영등포구,07297,0.104978,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000091,서울특별시,11560,영등포구,07266,0.044848,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000092,서울특별시,11560,영등포구,07279,0.055379,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000148,서울특별시,11560,영등포구,07410,0.063166,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000191,서울특별시,11560,영등포구,07425,0.04317,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000192,서울특별시,11560,영등포구,07409,0.060134,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000193,서울특별시,11560,영등포구,07412,0.052164,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000196,서울특별시,11560,영등포구,07431,0.055967,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000197,서울특별시,11560,영등포구,07430,0.040981,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000219,서울특별시,11560,영등포구,07421,0.04435,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000014,서울특별시,11620,관악구,08790,0.415247,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000013,서울특별시,11620,관악구,08859,0.399756,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000015,서울특별시,11620,관악구,08829,0.045204,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000206,서울특별시,11500,강서구,07777,0.055,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000207,서울특별시,11500,강서구,07717,0.042,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000208,서울특별시,11500,강서구,07728,0.028,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000209,서울특별시,11500,강서구,07716,0.031,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000210,서울특별시,11500,강서구,07726,0.059,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000205,서울특별시,11500,강서구,07720,0.043,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000211,서울특별시,11500,강서구,07711,0.048,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000311,서울특별시,11500,강서구,07809,0.084,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000313,서울특별시,11500,강서구,07810,0.076,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000091,서울특별시,11500,강서구,07599,0.145,20140926,20140917,분할에 의한 기초구역 변경,20140917000000
1150000305,서울특별시,11500,강서구,07804,0.059,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000306,서울특별시,11500,강서구,07813,0.049,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000307,서울특별시,11500,강서구,07805,0.035,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000157,서울특별시,11500,강서구,07631,0.049,20140926,20140917,분할에 의한 기초구역 변경,20140917000000
1150000309,서울특별시,11500,강서구,07811,0.077,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000310,서울특별시,11500,강서구,07806,0.054,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000158,서울특별시,11500,강서구,07630,0.114,20140926,20140917,분할에 의한 기초구역 변경,20140917000000
1150000312,서울특별시,11500,강서구,07808,0.053,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1150000314,서울특별시,11500,강서구,07807,0.049,20140926,20140917,분할에 의한 기초구역 생성,20140917000000
1153000163,서울특별시,11530,구로구,08318,0.048636,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000164,서울특별시,11530,구로구,08317,0.053954,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000165,서울특별시,11530,구로구,08310,0.031509,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000166,서울특별시,11530,구로구,08377,0.03177,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000137,서울특별시,11530,구로구,08324,0.320681,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000138,서울특별시,11530,구로구,08323,0.264412,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000136,서울특별시,11530,구로구,08328,0.189424,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000093,서울특별시,11560,영등포구,07250,0.093914,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000094,서울특별시,11560,영등포구,07254,0.062645,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000095,서울특별시,11560,영등포구,07340,0.085626,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000096,서울특별시,11560,영등포구,07440,0.076246,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000064,서울특별시,11560,영등포구,07283,0.070721,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000097,서울특별시,11560,영등포구,07344,0.174379,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000098,서울특별시,11560,영등포구,07328,0.040053,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000099,서울특별시,11560,영등포구,07330,0.03864,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000100,서울특별시,11560,영등포구,07320,0.044679,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000101,서울특별시,11560,영등포구,07264,0.077132,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000220,서울특별시,11560,영등포구,07397,0.075182,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000222,서울특별시,11560,영등포구,07394,0.036281,20171215,20171215,기초구역 경계 변경에 의한 기초구역 변경,20171215000000
1156000223,서울특별시,11560,영등포구,07379,0.053771,20121221,20121221,국가기초구역 최초생성,20121221000000
1156000225,서울특별시,11560,영등포구,07360,0.165537,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000016,서울특별시,11620,관악구,08843,0.12395,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000017,서울특별시,11620,관악구,08848,0.359382,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000018,서울특별시,11620,관악구,08850,0.102591,20121221,20121221,국가기초구역 최초생성,20121221000000
1162000019,서울특별시,11620,관악구,08801,0.07348,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000212,서울특별시,11500,강서구,07712,0.03,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000288,서울특별시,11500,강서구,07747,0.029,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000121,서울특별시,11500,강서구,07525,0.345,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000122,서울특별시,11500,강서구,07751,0.044,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000123,서울특별시,11500,강서구,07537,0.168,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000124,서울특별시,11500,강서구,07541,0.031,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000125,서울특별시,11500,강서구,07544,0.039,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000126,서울특별시,11500,강서구,07543,0.017,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000066,서울특별시,11530,구로구,08271,0.0563,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000067,서울특별시,11530,구로구,08270,0.038268,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000069,서울특별시,11530,구로구,08269,0.073994,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000070,서울특별시,11530,구로구,08338,0.07707,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000071,서울특별시,11530,구로구,08211,0.117551,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000167,서울특별시,11530,구로구,08371,0.080731,20121221,20121221,국가기초구역 최초생성,20121221000000
