"고유번호","시군구코드","도로위계기능구분","작업일시","도로구간일련번호","위도","경도"
"28548","11650","4","20130723170133","0","37.4481649","127.0570821"
"28549","11410","4"," ","1356","37.5946084","126.9428356"
"28552","11200","4"," ","809","37.5464164","127.0460333"
"28554","11200","4","20120809","2231","37.5375195","127.0569948"
"28556","11200","4","20131002105024","473","37.5542523","127.0181688"
"28558","11290","4"," ","1","37.6102568","127.0543389"
"28917","11410","4"," ","1967","37.5847066","126.9137801"
"28918","11410","4"," ","2200","37.5856965","126.913987"
"28920","11410","4"," ","2386","37.585533","126.9136641"
"28922","11650","4"," ","1292","37.5019008","127.0100137"
"28924","11650","3"," ","1569","37.4760981","127.0424325"
"28926","11290","4","20110419","1","37.5841988","127.0087574"
"28929","11200","4"," ","964","37.5627635","127.0273766"
"28933","11200","4"," ","1463","37.5701012","127.0335637"
"28936","11200"," "," ","0","37.5737235","127.0402496"
"28938","11410","3"," ","1585","37.590093","126.9420369"
"28940","11410","4"," ","98","37.5619754","126.9592376"
"28942","11410","3"," ","3316","37.5873113","126.9454478"
"28944","11410"," "," ","0","37.5820341","126.9434402"
"28945","11410"," "," ","0","37.5832218","126.9484972"
"28947","11650","4"," ","186","37.4842096","127.0082204"
"28950","11410","4"," ","2040","37.5713344","126.9323971"
"28953","11410","4"," ","3089","37.5754247","126.939145"
"28955","11410","4"," ","322","37.5734579","126.9339048"
"28956","11410","4"," ","1769","37.5731492","126.9339488"
"28958","11410","4"," ","1609","37.5721955","126.9319475"
"28960","11410","4"," ","2279","37.5855403","126.9483453"
"28961","11650"," "," ","0","37.4815999","127.0433108"
"28965","11650","4"," ","2039","37.4852379","127.0326101"
"28966","11650","4"," ","173","37.4859428","127.030679"
"32808","11440","4","20100709","3163","37.5545866","126.9417056"
"32809","11440","4","20070921","918","37.5553427","126.9416997"
"32811","11440","4","20070921","921","37.5554343","126.9424529"
"32813","11440","4","20080923","1883","37.5487536","126.9355789"
"32814","11290","4"," ","1","37.5865015","127.0200909"
"32817","11440","4","20070703","2314","37.5667725","126.9174618"
"32818","11440","4"," ","2327","37.5590705","126.9029106"
"32820","11680","4","20080829","527","37.5062812","127.039939"
"32821","11410","3"," ","2577","37.5764915","126.9300775"
"32825","11410","4"," ","3312","37.5576366","126.952638"
"32827","11410","4"," ","2647","37.5584554","126.9503963"
"32828","11680"," "," ","0","37.4630359","127.1063188"
"32831","11290","4"," ","1","37.5794618","127.0203531"
"32832","11680"," ","20080903","0","37.5244066","127.0365083"
"32834","11680","4","20080902","857","37.525701","127.0375709"
"32836","11680","4","20130722114545","0","37.4932717","127.039116"
"32837","11680","4","20080716","348","37.5256691","127.0471724"
"32839","11290","4"," ","1","37.5977138","127.0165252"
"32842","11290","4"," ","1","37.6110241","127.0289062"
"32845","11680","4","20080902","616","37.4932716","127.0414316"
"32846","11680"," "," ","0","37.4935256","127.0440314"
"32848","11680","4"," ","337","37.4629761","127.1064999"
"32849","11680","4","20080808","593","37.4933941","127.0367118"
"32851","11680","4","20080721","1669","37.5115468","127.0379938"
"32853","11680"," ","20080818","0","37.5067214","127.0458583"
"32854","11290","4"," ","1","37.6116745","127.0042243"
"31804","11170","4"," ","1171","37.5297128","126.970515"
"31805","11410"," "," ","0","37.5857374","126.9297459"
"31807","11410","4"," ","1648","37.5586428","126.9501662"
"31812","11230","4"," ","1058","37.5880829","127.0360823"
"31814","11230","4"," ","1035","37.5879374","127.0360358"
"31816","11230","4"," ","2501","37.5906688","127.0416566"
"31819","11230","4"," ","2111","37.5893262","127.0422157"
"31821","11230","4"," ","494","37.5875573","127.0590264"
"31822","11230","3"," ","646","37.5761009","127.0349847"
"31824","11230","4"," ","823","37.5782376","127.072885"
"31826","11230","4"," ","1043","37.5874351","127.0358774"
"32143","11440","4","20070927","1431","37.5464013","126.9394132"
"32146","11440","4"," ","1638","37.5546638","126.9585482"
"32147","11440","4","20070813","1612","37.5501432","126.9598533"
"32152","11410","4"," ","549","37.580193","126.9100297"
"32154","11170","4","20110212","1566","37.5458501","126.9832292"
"32156","11410","4"," ","1312","37.5803943","126.9138656"
"32159","11410","4"," ","3083","37.5749558","126.9372103"
"32160","11410","4"," ","421","37.5580536","126.952464"
"32478","11410","4"," ","1746","37.5565512","126.9398548"
"32479","11410","4"," ","1203","37.5707169","126.9355888"
"32481","11410","4"," ","299","37.5861265","126.9251694"
"32482","11410","4"," ","423","37.590319","126.9523061"
"32483","11440"," "," ","0","37.5776161","126.8787514"
"32485","11710","4"," ","1055","37.5051283","127.1017554"
"32486","11440"," "," ","0","37.5763058","126.8647256"
"32488","11710","4"," ","1043","37.5028905","127.1069901"
"32490","11170","4"," ","3032","37.5229126","126.992036"
"32856","11290","4"," ","1","37.6093763","127.0290944"
"32858","11290","4"," ","1","37.6092735","127.0268649"
"32859","11290","4"," ","1","37.6095148","127.0268734"
"32861","11290","4"," ","1","37.608994","127.0266395"
"32865","11440","4"," ","1597","37.5460529","126.9533662"
"32866","11290","4"," ","1","37.601667","127.0429503"
"32867","11290","4"," ","1","37.6100848","127.0122631"
"32868","11290","4","20121218","0","37.5925983","127.0053118"
"32872","11680"," ","20080904","0","37.5250394","127.0485486"
"32875","11290","4"," ","1","37.5831129","127.0190837"
"32876","11290","4"," ","1","37.6197594","127.0498022"
"32879","11440"," "," ","0","37.5585981","126.8959852"
"32880","11440"," "," ","0","37.5452552","126.9103336"
"32882","11440","4","20090210","272","37.5508674","126.947069"
"32885","11440","4","20070921","1499","37.5558263","126.9407731"
"32889","11290","4"," ","1","37.6177166","127.0524188"
"32890","11290","4"," ","1","37.6091097","127.0146437"
"32891","11290","4"," ","1","37.6143755","127.0624304"
"32895","11170","4"," ","1435","37.5375398","126.9992788"
"32896","11290","4"," ","1","37.6082749","127.0071232"
"32899","11170","4"," ","547","37.5506234","126.9782919"
"32801","11440","4","20081204","2079","37.559394","126.9191144"
"32807","11440","4","20081110","2064","37.5587917","126.9157995"
"32810","11440","4","20070921","917","37.5551035","126.9413226"
"31827","11710","4","20080102","1510","37.5319722","127.1154936"
"31828","11170","4"," ","2105","37.5541459","126.9672894"
"31830","11710","3"," ","663","37.5104084","127.106161"
"31831","11170","4","20110213","198","37.5526209","126.966104"
"31832","11680","2"," ","20","37.5282559","127.0210715"
"32162","11410","4"," ","412","37.5811225","126.908334"
"32163","11410","4"," ","1300","37.5610174","126.9308427"
"32165","11410","4"," ","3","37.582862","126.9105384"
"32166","11170","3"," ","2170","37.5324698","126.9635192"
"32169","11410","4"," ","1229","37.5863581","126.9244285"
"32172","11440","4","20080602","499","37.5507424","126.9585051"
"32173","11170","4"," ","1094","37.531692","126.9725755"
"32175","11170","4","20120802","1472","37.5350085","127.0089549"
"32492","11290","4"," ","1","37.6059337","127.0449303"
"32493","11710","4"," ","1041","37.4921145","127.1230116"
"32495","11440","4","20080221","3125","37.5497364","126.942538"
"32499","11440","4","20070921","1482","37.5446853","126.9469981"
"32500","11710"," "," ","0","37.5071232","127.1311442"
"32503","11560"," "," ","0","37.4994698","126.9141514"
"32505","11560"," "," ","0","37.4995267","126.9156585"
"32508","11410","4"," ","3321","37.5810828","126.934185"
"32510","11170","4"," ","93","37.5420148","126.9926678"
"32512","11170","4"," ","1061","37.5520508","126.974181"
"32513","11170","4"," ","1896","37.5322651","126.9727837"
"32515","11170","4","20110131","571","37.5462736","126.9671999"
"32517","11560"," "," ","0","37.4943451","126.9021685"
"32519","11560"," "," ","0","37.4941046","126.9028496"
"32812","11440","4","20080107","906","37.5545391","126.9413757"
"32816","11290","4"," ","1","37.5945824","127.0183646"
"32819","11680","4","20080905","610","37.4921437","127.0353917"
"32822","11410","4"," ","1525","37.5861101","126.9272552"
"32824","11410","4"," ","1540","37.5801915","126.9330222"
"32829","11290","4"," ","1","37.6045268","127.0386768"
"32830","11290","4"," ","1","37.5926801","126.9914427"
"32835","11680","4","20080717","855","37.5251284","127.0320031"
"32838","11290","4"," ","1","37.5982989","127.0162181"
"32840","11680","4","20080828","524","37.5045517","127.0368034"
"32841","11290","4"," ","1","37.614351","127.0463695"
"32844","11680","4","20080729","1472","37.5007357","127.0430392"
"32847","11680","4","20080728","588","37.4928006","127.0321443"
"32850","11680","4","20080716","348","37.525451","127.0477005"
"31833","11710"," "," ","0","37.5366086","127.1127866"
"31834","11710","4"," ","1068","37.5102875","127.1094915"
"31843","11440","4","20080602","494","37.5511363","126.9565219"
"31849","11680","4","20080730","224","37.5045844","127.0460112"
