,시도명,시군구명,단속동,단속건수,,,,,
,,,,,,,,삼전동,
,,,,,,,,삼전동,
,,,,,,,,석촌동,
,,,,,,,,석촌동,
,,,,,,,,석촌동,
,,,,,,,,송파1동,
,,,,,,,,송파1동,
,,,,,,,,송파1동,
,,,,,,,,송파2동,
,,,,,,,,송파2동,
,,,,,,,,송파2동,
,,,,,,,,송파동,
,,,,,,,,송파동,
,,,,,,,,송파동,
,,,,,,,,신천동,
,,,,,,,,신천동,
,,,,,,,,신천동,
,,,,,,,,오금동,
,,,,,,,,오금동,
,,,,,,,,오금동,
,,,,,,,,오륜동,
,,,,,,,,오륜동,
,,,,,,,,오륜동,
,,,,,,,,위례동,
,,,,,,,,위례동,
,,,,,,,,위례동,
,,,,,,,,잠실2동,
,,,,,,,,잠실2동,
,,,,,,,,잠실2동,
,,,,,,,,잠실3동,
,,,,,,,,잠실3동,
,,,,,,,,잠실3동,
,,,,,,,,잠실4동,
,,,,,,,,잠실4동,
,,,,,,,,잠실4동,
,,,,,,,,잠실6동,
,,,,,,,,잠실6동,
,,,,,,,,잠실6동,
,,,,,,,,잠실7동,
,,,,,,,,잠실7동,
,,,,,,,,잠실7동,
,,,,,,,,잠실동,
,,,,,,,,잠실동,
,,,,,,,,잠실동,
,,,,,,,,잠실본동,
,,,,,,,,잠실본동,
,,,,,,,,잠실본동,xxxxxz
,,,,,,,,장지동,
,,,,,,,,장지동,
,,,,,,,,장지동,
,,,,,,,,풍납1동,
,,,,,,,,풍납1동,
,,,,,,,,풍납1동,
,,,,,,,,풍납2동,
,,,,,,,,풍납2동,
,,,,,,,,풍납2동,
,,,,,,,,풍납동,
,,,,,,,,풍납동,
,,,,,,,,풍납동,
